CODIGO;NOMBRE;DESCRIPCION;PRECIO;STOCK;
00441;DULCE;DULCE;16,00;0;
00115;DULCE BATATA C/CHOC CAJON;DULCE BATATA C/CHOC CAJON;127,07;0;
00119;DULCE BATATA C/CHOC LATA;DULCE BATATA C/CHOC LATA;197,06;0;
00118;DULCE BATATA LATA;DULCE BATATA LATA;189,76;0;
00121;DULCE CALABAZA CANTONI;DULCE CALABAZA CANTONI;290,00;0;
00114;DULCE DE BATATA CAJON;DULCE DE BATATA CAJON;127,07;0;
00450;DULCE DE LECHE 7DIAS X 400GR;DULCE DE LECHE 7DIAS X 400GR;19,92;0;
00065;DULCE DE LECHE CREMIGAL 1 KG;DULCE DE LECHE CREMIGAL 1 KG;65,21;0;
00063;DULCE DE LECHE CREMIGAL 250 GRS;DULCE DE LECHE CREMIGAL 250 GRS;17,06;0;
00064;DULCE DE LECHE CREMIGAL 400 GRS;DULCE DE LECHE CREMIGAL 400 GRS;26,22;0;
00066;DULCE DE LECHE CREMIGAL FLIAR 5 KG;DULCE DE LECHE CREMIGAL FLIAR 5 KG;286,36;0;
00067;DULCE DE LECHE CREMIGAL REPOSTERO 5 KG;DULCE DE LECHE CREMIGAL REPOSTERO 5 KG;286,31;0;
00440;DULCE DE LECHE EL LECHERO X 1 KG;DULCE DE LECHE EL LECHERO X 1 KG;53,54;0;
00446;DULCE DE LECHE EL LECHERO X 10 KG CLASSICO;DULCE DE LECHE EL LECHERO X 10 KG CLASSICO;398,93;0;
00449;DULCE DE LECHE EL LECHERO X 10 KG REPOSTERO;DULCE DE LECHE EL LECHERO X 10 KG REPOSTERO;401,79;0;
00447;DULCE DE LECHE EL LECHERO X 3 KG;DULCE DE LECHE EL LECHERO X 3 KG;159,55;0;
00448;DULCE DE LECHE EL LECHERO X 5 KG;DULCE DE LECHE EL LECHERO X 5 KG;233,92;0;
00068;DULCE DE LECHE X 12 KG;DULCE DE LECHE X 12 KG;705,96;0;
00046;DULCE DE LECHE X 400 SS;DULCE DE LECHE X 400 SS;17,81;0;
00117;DULCE DE ZAPALLO;DULCE DE ZAPALLO;159,98;0;
00116;DULCE MEMBRILLO CAJON;DULCE MEMBRILLO CAJON;162,59;0;
00120;DULCE MEMBRILLO LATA;DULCE MEMBRILLO LATA;292,97;0;
00451;FIDEOS FRESCOS AL HUEVO QUIERO! X 500G;FIDEOS FRESCOS AL HUEVO QUIERO! X 500G;23,03;0;
00432;FILET DE ANCHOA 60 X 3;FILET DE ANCHOA 60 X 3;376,98;0;
00051;FLAN VAINILLA CREMIGAL;FLAN VAINILLA CREMIGAL;7,72;0;
00111;GRASA RECREO;GRASA RECREO;0,00;0;
00127;HAMBURGUESA + GRANDES PALADINI;HAMBURGUESA + GRANDES PALADINI;31,49;0;
00133;HAMBURGUESA FELA X 2;HAMBURGUESA FELA X 2;13,51;0;
00131;HAMBURGUESA PALADINI X 2 CLASICA;HAMBURGUESA PALADINI X 2 CLASICA;22,55;0;
00132;HAMBURGUESA PALADINI X 2 FINAS;HAMBURGUESA PALADINI X 2 FINAS;19,30;0;
00457;JAMON COCIDO EL LECHERO;JAMON COCIDO EL LECHERO;130,73;0;
00077;JAMON COCIDO PALADINI 6 KG;JAMON COCIDO PALADINI 6 KG;187,73;0;
00100;JAMON COCIDO PIAMONTESA;JAMON COCIDO PIAMONTESA;150,63;0;
00176;JAMON CRUDO MITAD;JAMON CRUDO MITAD;353,44;0;
00078;JAMON CRUDO PALADINI;JAMON CRUDO PALADINI;528,60;0;
00152;LEBERWHURTS PIAMONTESA;LEBERWHURTS PIAMONTESA;11,58;0;
00057;LECHE CHOCOLATADA SANDY 200 CC;LECHE CHOCOLATADA SANDY 200 CC;7,08;0;
00056;LECHE CHOCOLATADA SANDY X 1 LT.;LECHE CHOCOLATADA SANDY X 1 LT.;22,91;0;
00045;LECHE DESC L.VIDA 7 DIASX 1 LT.;LECHE DESC L.VIDA 7 DIASX 1 LT.;20,01;0;
00047;LECHE EN POLVO ENTERA X 800 CREMIGAL;LECHE EN POLVO ENTERA X 800 CREMIGAL;95,95;0;
00049;LECHE EN POLVO EQUILIBRIO X 800;LECHE EN POLVO EQUILIBRIO X 800;75,71;0;
00055;LECHE EN POLVO VICENTIA X 800;LECHE EN POLVO VICENTIA X 800;80,85;0;
00044;LECHE ENT L.VIDA 7 DIAS X 1LT;LECHE ENT L.VIDA 7 DIAS X 1LT;20,01;0;
00169;LEVADURA;LEVADURA;49,47;0;
00234;LEVADURE LEVEX;LEVADURE LEVEX;7,78;0;
00150;LOMITO FINAS HIERBAS PIAMONTESA;LOMITO FINAS HIERBAS PIAMONTESA;177,92;0;
00093;LOMO A LAS FINAS HIERBAS L'ABRATTO;LOMO A LAS FINAS HIERBAS L'ABRATTO;259,82;0;
00092;LOMO DE CERDO COCIDO PALADINI;LOMO DE CERDO COCIDO PALADINI;197,39;0;
00110;MALTA EL POCILLO;MALTA EL POCILLO;21,56;0;
00069;MANTECA 100 GRS;MANTECA 100 GRS;13,25;0;
00070;MANTECA 200 GRS;MANTECA 200 GRS;23,17;0;
00071;MANTECA PILON;MANTECA PILON;100,45;0;
00442;MARGARINA X 10KG;MARGARINA X 10KG;394,80;0;
00087;MATAMBRE DE CARNE FELA;MATAMBRE DE CARNE FELA;170,26;0;
00235;MAYONESA CADA DIA X 125;MAYONESA CADA DIA X 125;5,45;0;
00236;MAYONESA CADA DIA X 250;MAYONESA CADA DIA X 250;0,00;0;
00218;MAYONESA HELLMAN'S X 2.800GR;MAYONESA HELLMAN'S X 2.800GR;161,74;0;
00166;MAYONESA NATURA X 125;MAYONESA NATURA X 125;9,10;0;
00167;MAYONESA NATURA X 250;MAYONESA NATURA X 250;18,56;0;
00406;MAYONESA NATURA X 2900;MAYONESA NATURA X 2900;149,72;0;
00216;MAYONESA NATURA X 500;MAYONESA NATURA X 500;33,67;0;
00128;MEDALLON POLLO ESP Y QUE PALADINI;MEDALLON POLLO ESP Y QUE PALADINI;27,90;0;
00113;MEMBRILLO/BATATA PANADERO;MEMBRILLO/BATATA PANADERO;251,99;0;
00124;MERMELADA BAGGIO;MERMELADA BAGGIO;18,01;0;
00125;MERMELADA ORIETA;MERMELADA ORIETA;14,00;0;
00200;MILAN 66;MILAN 66;0,00;0;
00080;MILAN CRESPON PALADINI;MILAN CRESPON PALADINI;238,29;0;
00081;MILAN FELA;MILAN FELA;181,63;0;
00079;MILAN PALADINI;MILAN PALADINI;250,87;0;
00148;MINI PIEZAS FLIAR 300 GR PIAMONTESA;MINI PIEZAS FLIAR 300 GR PIAMONTESA;30,51;0;
00163;MORCILLON DON ALEJANDRO;MORCILLON DON ALEJANDRO;39,13;0;
00207;MORRON LATA X 780GR;MORRON LATA X 780GR;63,70;0;
00147;MORTADELA 808;MORTADELA 808;63,87;0;
00159;MORTADELA BOLOGNA PIAMONTESA;MORTADELA BOLOGNA PIAMONTESA;90,54;0;
00423;MORTADELA DON ALEJANDRO;MORTADELA DON ALEJANDRO;52,10;0;
00082;MORTADELA FELA X 3 KG;MORTADELA FELA X 3 KG;83,77;0;
00083;MORTADELA PALADINI 2.500;MORTADELA PALADINI 2.500;135,93;0;
00084;MORTADELA PALADINI 4.500;MORTADELA PALADINI 4.500;130,84;0;
00085;MORTADELA PALADINI X 300GR;MORTADELA PALADINI X 300GR;34,78;0;
00109;MORTADELA PIAMONTESA;MORTADELA PIAMONTESA;99,54;0;
00217;MOSTASA SAVORA X 3 KG;MOSTASA SAVORA X 3 KG;106,55;0;
00019;MUZZA BARRA CANTONI;MUZZA BARRA CANTONI;117,00;0;
00025;MUZZARELLA CILINDRO CREMIGAL;MUZZARELLA CILINDRO CREMIGAL;109,19;0;
00454;PALETA COCIDA EL LECHERO;PALETA COCIDA EL LECHERO;97,82;0;
00099;PALETA DE CERDO 131;PALETA DE CERDO 131;81,37;0;
00075;PALETA FELA X 6KG;PALETA FELA X 6KG;108,36;0;
00074;PALETA PALADINI X 200GR A/V;PALETA PALADINI X 200GR A/V;31,09;0;
00073;PALETA PALADINI X 6KG;PALETA PALADINI X 6KG;160,99;0;
00103;PALETA PIAMONTESA;PALETA PIAMONTESA;102,58;0;
00422;PALETA SANDWICHERA DON ALEJANDRO;PALETA SANDWICHERA DON ALEJANDRO;64,30;0;
00091;PANCETA AHUMADA PALADINI A/V;PANCETA AHUMADA PALADINI A/V;272,61;0;
00151;PANCETA ARROLLADA PIAMONTESA;PANCETA ARROLLADA PIAMONTESA;222,10;0;
00433;PANCETA COCIDA AHUMADA;PANCETA COCIDA AHUMADA;167,40;0;
00090;PANCETA SALADA PALADINI A/V;PANCETA SALADA PALADINI A/V;221,29;0;
00098;PATA COCIDA PIAMONTESA;PATA COCIDA PIAMONTESA;115,19;0;
00129;PATE PALADINI;PATE PALADINI;0,00;0;
00208;PATE/PICADILLO;PATE/PICADILLO;0,00;0;
00130;PICADILLO PALADINI;PICADILLO PALADINI;0,00;0;
00191;PICKLES  COPETIN  4 KG;PICKLES  COPETIN  4 KG;257,48;0;
00023;POR SALU SIN SAL CREMIGAL;POR SALU SIN SAL CREMIGAL;115,50;0;
00024;POR SALUT CREMIGAL;POR SALUT CREMIGAL;115,50;0;
00010;POSTRE DULCE DE LECHE X 125;POSTRE DULCE DE LECHE X 125;7,28;0;
00009;POSTRE VAINILLA X 125;POSTRE VAINILLA X 125;7,28;0;
00041;PROVOLETA PARRILERA;PROVOLETA PARRILERA;223,99;0;
00378;QUESO AZUL ILOLAY;QUESO AZUL ILOLAY;322,07;0;
00027;QUESO BARRA CAMPO;QUESO BARRA CAMPO;97,51;0;
00013;QUESO BARRA CANTONI;QUESO BARRA CANTONI;130,99;0;
00259;QUESO BRIE;QUESO BRIE;0,00;0;
00088;QUESO CHEDDAR SPALEN;QUESO CHEDDAR SPALEN;133,21;0;
00456;QUESO CREMA X 290 GR;QUESO CREMA X 290 GR;37,51;0;
00377;QUESO CREMA X 4 KG;QUESO CREMA X 4 KG;501,89;0;
00429;QUESO DE CERDO DON A;QUESO DE CERDO DON A;70,78;0;
00102;QUESO DE CERDO PIAMONTESA;QUESO DE CERDO PIAMONTESA;60,21;0;
00017;QUESO FONTINA CANTONI;QUESO FONTINA CANTONI;140,36;0;
00043;QUESO FUNDIDO MIXTO;QUESO FUNDIDO MIXTO;105,09;0;
00018;QUESO GRUYERE CANTONI;QUESO GRUYERE CANTONI;140,36;0;
00039;QUESO HOLANDA;QUESO HOLANDA;141,75;0;
00026;QUESO HOLANDA CREMIGAL;QUESO HOLANDA CREMIGAL;160,21;0;
00016;QUESO PATEGRAS CANTONI;QUESO PATEGRAS CANTONI;153,39;0;
00145;QUESO REGIANITO CREMIGAL;QUESO REGIANITO CREMIGAL;189,95;0;
00144;QUESO SARDO CREMIGAL;QUESO SARDO CREMIGAL;189,95;0;
00022;QUESO TYBO CREMIGAL;QUESO TYBO CREMIGAL;133,70;0;
00034;RALLADITO  X 25 UND X 30GR;RALLADITO  X 25 UND X 30GR;180,06;0;
00155;RAPIDITAS QUIERO X 8 UNID;RAPIDITAS QUIERO X 8 UNID;27,73;0;
00140;RAVIOLES X 1KG QUIERO!;RAVIOLES X 1KG QUIERO!;57,66;0;
00139;RAVIOLES X 500GR QUIERO!;RAVIOLES X 500GR QUIERO!;30,70;0;
00050;RICOTA CREMIGAL;RICOTA CREMIGAL;49,61;0;
00002;SACHET YOGUR FRUTILLA ENTERO;SACHET YOGUR FRUTILLA ENTERO;22,02;0;
00004;SACHET YOGUR FRUTILLA LIGTH;SACHET YOGUR FRUTILLA LIGTH;22,02;0;
00003;SACHET YOGUR VAINILLA ENTERO;SACHET YOGUR VAINILLA ENTERO;22,02;0;
00005;SACHET YOGUR VAINILLA LIGHT;SACHET YOGUR VAINILLA LIGHT;22,02;0;
00053;SACHET YOGURT DURAZNO X 1L;SACHET YOGURT DURAZNO X 1L;22,02;0;
00054;SACHET YOGURT MULTIFR X 1LT;SACHET YOGURT MULTIFR X 1LT;22,02;0;
00197;SAL PARRILLERA X 400;SAL PARRILLERA X 400;23,40;0;
00105;SALAME BASTON COLONIA PIAMONTESA;SALAME BASTON COLONIA PIAMONTESA;208,79;0;
00435;SALAME BASTON CRIOLLO;SALAME BASTON CRIOLLO;193,05;0;
00104;SALAME MILAN PIAMONTESA;SALAME MILAN PIAMONTESA;205,19;0;
00106;SALAMIN CASERO;SALAMIN CASERO;150,01;0;
00095;SALCHICHA FELA X 12 U;SALCHICHA FELA X 12 U;28,43;0;
00094;SALCHICHA FELA X 6 U;SALCHICHA FELA X 6 U;17,06;0;
00096;SALCHICHA PALADINI X 6 U;SALCHICHA PALADINI X 6 U;27,86;0;
00126;SALCHICHA PARRILLERA PALADINI;SALCHICHA PARRILLERA PALADINI;149,43;0;
00097;SALCHICHAS PALADINI X 12 U;SALCHICHAS PALADINI X 12 U;33,72;0;
00153;SALCHICHAS PANCHIN;SALCHICHAS PANCHIN;13,66;0;
00425;SALCHICHON C/ JAMON DON ALEJANDRO;SALCHICHON C/ JAMON DON ALEJANDRO;52,10;0;
00108;SALCHICHON C/JAMON PIAMONTESA;SALCHICHON C/JAMON PIAMONTESA;74,18;0;
00107;SALCHICHON CON VERDURAS PIAMONTESA;SALCHICHON CON VERDURAS PIAMONTESA;86,69;0;
00149;SALCHICHON FLIAR X 300Gr PIAMONTESA;SALCHICHON FLIAR X 300Gr PIAMONTESA;24,50;0;
00424;SALCHICHON PRIMAVERA DON ALEJANDRO;SALCHICHON PRIMAVERA DON ALEJANDRO;52,10;0;
00076;SALCHICHON TRIPLE PALADINI;SALCHICHON TRIPLE PALADINI;115,63;0;
00410;SALSA DE TOMATE X 350;SALSA DE TOMATE X 350;24,51;0;
00409;SALSA DE TOMATE X 950;SALSA DE TOMATE X 950;50,41;0;
00036;SARDO BLANCO;SARDO BLANCO;142,51;0;
00001;SERVICIOS;SERVICIOS;0,00;0;
00143;SPAGETHI X 500 GR QUIERO!;SPAGETHI X 500 GR QUIERO!;20,60;0;
00134;TAPA EMPANADA CRIOLLA QUIERO;TAPA EMPANADA CRIOLLA QUIERO;12,80;0;
00137;TAPA EMPANADA QUIERO FREIR;TAPA EMPANADA QUIERO FREIR;15,20;0;
00136;TAPA EMPANADA QUIERO HORNO;TAPA EMPANADA QUIERO HORNO;15,20;0;
00135;TAPA PASCUA CRIOLLA OFF X 3;TAPA PASCUA CRIOLLA OFF X 3;20,22;0;
00138;TAPA PASCUALINA QUIERO;TAPA PASCUALINA QUIERO;21,02;0;
00452;TAPA PASTELES X 24 U. QUIERO!;TAPA PASTELES X 24 U. QUIERO!;18,87;0;
00453;TAPAS COPETIN X 24 U. QUIERO!;TAPAS COPETIN X 24 U. QUIERO!;13,21;0;
00437;TOMATE LATA X 8 KG COPETIN;TOMATE LATA X 8 KG COPETIN;150,06;0;
00412;TOMATE TRITURADO X 350;TOMATE TRITURADO X 350;18,54;0;
00411;TOMATE TRITURADO X 950;TOMATE TRITURADO X 950;37,09;0;
00254;VARIOS;VARIOS;0,00;0;
00006;VASO YOGUR FRUTILLA;VASO YOGUR FRUTILLA;6,03;0;
00007;VASO YOGUR VAINILLA;VASO YOGUR VAINILLA;6,03;0;
00014;VASOS YOGUR DURAZNO;VASOS YOGUR DURAZNO;6,03;0;
00015;VASOS YOGUR MULTIFRUTAL;VASOS YOGUR MULTIFRUTAL;6,03;0;
00346;VIINAGRE;VIINAGRE;0,00;0;
00438;YOGUR BEBIBLE BOT. X 190Gr;YOGUR BEBIBLE BOT. X 190Gr;15,71;0;
00008;YOGUR C/ CEREALES X 155;YOGUR C/ CEREALES X 155;13,36;0;
00439;YOGUR C/ MAIZ ILOLAY X 190Gr;YOGUR C/ MAIZ ILOLAY X 190Gr;18,16;0;
00052;YOGUR DES FIRME ILOLAY 190 GR;YOGUR DES FIRME ILOLAY 190 GR;12,10;0;
00142;ÑOQUIS X 500 GR QUIERO!;ÑOQUIS X 500 GR QUIERO!;20,74;0;
